bits,v_ind,r_density,r_naive_p,left_ind,right_ind,left_cnt,right_cnt,density,naive_p
8,924346,52929135,52929135,7506,7526,10,10,3.4584162950392860e-01,8.2416529387299309e-01
3,2906245,4918,4918,23619,23639,10,10,2.2572590721667201e+00,1.1444684253360907e-25
4,2906614,10387,10387,23622,23642,10,10,2.0711313146631389e+00,1.6920358100249364e-22
4,3137608,5764303,5764303,25500,25520,10,10,7.5534789177105799e-01,2.1008537471888054e-03
4,3138961,1795422,1795422,25511,25531,10,10,9.6346439676608520e-01,9.5343142254602631e-06
4,3890983,1524137,1524137,31625,31645,10,10,9.9374668299053270e-01,4.0118003243736552e-06
4,5553082,303528,303528,45138,45158,10,10,1.3117485393582271e+00,1.8752971419909808e-10
8,5623315,39481367,39481367,45709,45729,10,10,4.1329010725448762e-01,5.6048299260608780e-01
4,6196495,671837,671837,50369,50389,10,10,1.1508182173850263e+00,3.4887904973968157e-08
8,6212362,18702069,18702069,50498,50518,10,10,5.5321834478872600e-01,1.0990767065516577e-01
8,6238807,9967326,9967326,50713,50733,10,10,6.6151725580532683e-01,1.6025172399150089e-02
8,6555655,47736340,47736340,53289,53309,10,10,3.7132839099749604e-01,7.3427692452354543e-01
4,8508526,4055638,4055638,69166,69186,10,10,8.1677396878254760e-01,4.7865422728605496e-04
4,8795116,2573643,2573643,71496,71516,10,10,8.9779242472457432e-01,5.8472825857732880e-05
4,8879248,26233221,26233221,72180,72200,10,10,4.9270346718822144e-01,2.5375697780691414e-01
4,9300031,8422356,8422356,75601,75621,10,10,6.9022896411188006e-01,8.8865317946242982e-03
8,9906421,4264493,4264493,80531,80551,10,10,8.0793231268889032e-01,5.9608411089764326e-04
4,11111329,86176,86176,90327,90347,10,10,1.5832797498566984e+00,1.4919759545935109e-14
8,11787952,8966119,8966119,95828,95848,10,10,6.7957027804036108e-01,1.1099760343955678e-02
8,12062857,24929284,24929284,98063,98083,10,10,5.0201662869277230e-01,2.2589953808635518e-01
4,13111924,1465233,1465233,106592,106612,10,10,1.0011443850919508e+00,3.2385724058779797e-06
8,13442056,43468310,43468310,109276,109296,10,10,3.9263483576894259e-01,6.4842239988395800e-01
8,13455955,30172587,30172587,109389,109409,10,10,4.6660699758102109e-01,3.4265440297616495e-01
8,13510813,18408169,18408169,109835,109855,10,10,5.5599253322522435e-01,1.0530376676236758e-01
4,15982621,413947,413947,129931,129951,10,10,1.2477263316504354e+00,1.5582722695461562e-09
4,17976082,12154616,12154616,146138,146158,10,10,6.2765229886164720e-01,3.0859943490217600e-02
4,17977435,13124603,13124603,146149,146169,10,10,6.1447272717924706e-01,3.9331461936255495e-02
4,18043609,189321,189321,146687,146707,10,10,1.4112444554156500e+00,6.3914514451910209e-12
4,18595510,863517,863517,151174,151194,10,10,1.1016390287042059e+00,1.6078081305074691e-07
8,20454040,21146003,21146003,166284,166304,10,10,5.3154990209333930e-01,1.5154189953938202e-01
8,20523043,36850604,36850604,166845,166865,10,10,4.2748950174297728e-01,4.9970772385361834e-01
4,21184906,11705670,11705670,172226,172246,10,10,6.3408855350621951e-01,2.7341603204694545e-02
8,22090309,5374076,5374076,179587,179607,10,10,7.6750527498198384e-01,1.5812597387521408e-03
4,22335694,18473216,18473216,181582,181602,10,10,5.5537483278743571e-01,1.0631530917723668e-01
4,24066796,53343,53343,195656,195676,10,10,1.6915041399583164e+00,2.9244914280682188e-16
4,24066919,67622,67622,195657,195677,10,10,1.6372213553790114e+00,2.1240725808176580e-15
4,24067042,74360,74360,195658,195678,10,10,1.6160850638509485e+00,4.5709914178467547e-15
4,24745510,20183119,20183119,201174,201194,10,10,5.3981018534925984e-01,1.3444579311884566e-01
8,27041674,56156244,56156244,219842,219862,10,10,3.2992135530500138e-01,8.7077461246152532e-01
8,29469079,14091784,14091784,239577,239597,10,10,6.0225620183232154e-01,4.8927268791123850e-02
4,29487037,17885471,17885471,239723,239743,10,10,5.6102338237551930e-01,9.7349242220137813e-02
4,30464764,34629962,34629962,247672,247692,10,10,4.3994115062700800e-01,4.4746494619166910e-01
8,32936941,49892336,49892336,267771,267791,10,10,3.6072537641623892e-01,7.7371459961913036e-01
4,33087493,1426579,1426579,268995,269015,10,10,1.0061142139459105e+00,2.8031056243054820e-06
8,33140875,6598618,6598618,269429,269449,10,10,7.3201978016515434e-01,3.5781328947032680e-03
8,34112452,39765212,39765212,277328,277348,10,10,4.1179250842419196e-01,5.6691552697228142e-01
8,34306177,36409705,36409705,278903,278923,10,10,4.2992680396426325e-01,4.8937364723444760e-01
4,35636545,5496140,5496140,289719,289739,10,10,7.6360213319769499e-01,1.7331173716971415e-03
4,37395199,906535,906535,304017,304037,10,10,1.0922452933292632e+00,2.1438007140755603e-07
8,38578090,72524563,72524563,313634,313654,10,10,2.3564916306405270e-01,9.9318739796504507e-01
8,38768986,968237,968237,315186,315206,10,10,1.0795977701874750e+00,3.1511357540199677e-07
8,39759013,13817815,13817815,323235,323255,10,10,6.0562380228197921e-01,4.6099115979353365e-02
8,43763278,46293261,46293261,355790,355810,10,10,3.7846632847760936e-01,7.0635935110902126e-01
8,47073946,3448641,3448641,382706,382726,10,10,8.4546452938671324e-01,2.3158089963494055e-04
8,47074192,3281955,3281955,382708,382728,10,10,8.5424627115125418e-01,1.8466189930622779e-04
8,47074315,3715634,3715634,382709,382729,10,10,8.3224917361143724e-01,3.2440466666414216e-04
8,47074561,4486354,4486354,382711,382731,10,10,7.9903294598166374e-01,7.4180034806013608e-04
8,47074930,8293019,8293019,382714,382734,10,10,6.9286558531874987e-01,8.4056429118137613e-03
8,47528062,18267398,18267398,386398,386418,10,10,5.5733648534128244e-01,1.0312950044124031e-01
3,49588066,4699,4699,403146,403166,10,10,2.2689831521814567e+00,7.1929234232693023e-26
3,49588189,3495,3495,403147,403167,10,10,2.3431751918140340e+00,3.7615394729837508e-27
3,49588312,2494,2494,403148,403168,10,10,2.4283689439547391e+00,1.2397112358532236e-28
3,49588435,1646,1646,403149,403169,10,10,2.5311734276625351e+00,1.9545568050264553e-30
3,49588558,1252,1252,403150,403170,10,10,2.5934152896377332e+00,1.5595032911068550e-31
3,49588681,818,818,403151,403171,10,10,2.6957931474275219e+00,2.3784230734585403e-33
3,49588804,823,823,403152,403172,10,10,2.6949947941023646e+00,2.4575630893164328e-33
3,49588927,848,848,403153,403173,10,10,2.6867476525502112e+00,3.4459608745491597e-33
3,49589050,877,877,403154,403174,10,10,2.6794221889736880e+00,4.6520257394549317e-33
3,49589173,835,835,403155,403175,10,10,2.6916399808464870e+00,2.8198932545016120e-33
3,49589296,850,850,403156,403176,10,10,2.6866815422773946e+00,3.4553085423428734e-33
3,49589419,842,842,403157,403177,10,10,2.6891522551990539e+00,3.1225886346110027e-33
3,49589542,712,712,403158,403178,10,10,2.7292217387312383e+00,6.0310174798195847e-34
3,49589665,678,678,403159,403179,10,10,2.7417702321972119e+00,3.6005532203408119e-34
3,49589788,482,482,403160,403180,10,10,2.8295892357469721e+00,9.6311076535687936e-36
3,49589911,703,703,403161,403181,10,10,2.7342102324813076e+00,4.9130958346395824e-34
3,49590034,1003,1003,403162,403182,10,10,2.6445268981090502e+00,1.9391229034937497e-32
3,49590157,1401,1401,403163,403183,10,10,2.5696480792113245e+00,4.1008654628558876e-31
3,49590280,1376,1376,403164,403184,10,10,2.5731159545624260e+00,3.5616767558497480e-31
3,49590403,1869,1869,403165,403185,10,10,2.4979251339217248e+00,7.5078864127432517e-30
3,49590526,2093,2093,403166,403186,10,10,2.4689372677378607e+00,2.4202782997946188e-29
3,49590649,2990,2990,403167,403187,10,10,2.3819078925372317e+00,7.9966682728455128e-28
3,49590772,3470,3470,403168,403188,10,10,2.3449963183381981e+00,3.4978370257212338e-27
3,49590895,4538,4538,403169,403189,10,10,2.2769387726268668e+00,5.2469833949532142e-26
8,50435413,43101922,43101922,410035,410055,10,10,3.9449365090011601e-01,6.4062944577760750e-01
8,50435659,48198874,48198874,410037,410057,10,10,3.6904539149929194e-01,7.4298658291191189e-01
8,50435782,47667391,47667391,410038,410058,10,10,3.7166814332551329e-01,7.3297122130937131e-01
8,50608474,8187627,8187627,411442,411462,10,10,6.9506031316183126e-01,8.0237653902179573e-03
