bits,v_ind,r_density,r_naive_p,left_ind,right_ind,left_cnt,right_cnt,density,naive_p
8,924346,64102147,68122076,7495,7536,21,20,3.0272871888191577e-01,9.8435253191936589e-01
2,2905753,1403,53199,23622,23634,3,9,2.6061047564122104e+00,1.6500554129451188e-20
4,2906614,272255,174774,23625,23658,7,26,1.2833024358914913e+00,4.6316295949914314e-15
4,3137608,3320124,2240851,25491,25529,19,19,8.1764003159263987e-01,3.9841897601838299e-06
4,3138961,2774962,1984577,25496,25532,25,11,8.4760955256283044e-01,1.8494520814437840e-06
4,3890983,9768081,6866054,31628,31673,7,38,6.4489747809615527e-01,1.7617688183154249e-03
4,5553082,195321,27505,45125,45175,23,27,1.3533132384036271e+00,5.2414109243623906e-24
8,5623315,30465785,30263263,45705,45738,14,19,4.6485975954183878e-01,3.2347406971200543e-01
4,6196495,2377045,2248399,50356,50386,23,7,8.7395802964844460e-01,4.0678050061634096e-06
8,6212362,34118965,34032856,50494,50531,14,23,4.4519750034617706e-01,4.1781841372500889e-01
8,6238807,9845445,7237752,50695,50738,28,15,6.4365988232638705e-01,2.2463233800035492e-03
8,6555655,57110800,57835937,53278,53309,21,10,3.3735306920660058e-01,9.0507620740364580e-01
4,8508526,13069882,11440929,69163,69200,13,24,5.9971623451806211e-01,1.5578674561968658e-02
4,8795116,764246,4120706,71500,71510,6,4,1.0775288048793863e+00,1.3603889832342322e-04
4,8879248,47893257,47913335,72171,72201,18,11,3.7950010782979682e-01,7.4565994560397442e-01
4,9300031,9948576,7993161,75588,75627,23,16,6.4204099145131688e-01,3.5140444664931822e-03
8,9906421,11328799,16564230,80532,80546,9,5,6.2187099301015702e-01,5.9105012578410089e-02
2,9963616,3579,223578,81003,81012,3,6,2.3413464998653617e+00,4.8909101513013312e-14
2,9963739,1853,151771,81004,81013,3,6,2.5346416090002122e+00,1.1487303162630789e-15
2,9963862,1854,151772,81004,81013,4,5,2.5346416090002122e+00,1.1487303162630789e-15
2,9963985,1855,151773,81004,81013,5,4,2.5346416090002122e+00,1.1487303162630789e-15
2,9964108,2233,231773,81006,81014,4,4,2.4793078729714160e+00,6.8987967171954750e-14
4,11111329,553032,287186,90318,90355,19,18,1.1399471610177596e+00,5.0051897834431301e-13
8,11787952,43833881,40481250,95831,95842,7,4,3.9801528281444049e-01,5.7955700869456805e-01
8,12062857,41260990,43411743,98051,98106,22,33,4.1000114455799525e-01,6.4873016415277884e-01
4,13111924,2738288,1629792,106585,106625,17,23,8.4988605898840452e-01,5.0989016230047877e-07
8,13442056,56738454,50097317,109277,109290,9,4,3.3909379437489834e-01,7.8763129449839742e-01
8,13455955,26512542,29156479,109392,109405,7,6,4.8812305613391949e-01,2.9659103486380217e-01
8,13510813,22728949,21839754,109833,109868,12,23,5.1313390671379500e-01,1.3911589000177157e-01
4,15982621,246159,76407,129924,129967,17,24,1.3045916820247034e+00,9.7623131297474258e-19
4,17976082,11250144,10031484,146131,146166,17,18,6.2296061260468749e-01,9.2180466205388067e-03
4,17977435,11801175,10791833,146136,146170,23,11,6.1555737247721354e-01,1.2368800296812027e-02
4,18043609,161358,361739,146682,146703,15,6,1.3943455817758654e+00,3.9353166155963239e-12
4,18595510,4177063,1729611,151164,151217,20,33,7.7984273730725406e-01,7.6028729530025361e-07
8,20454040,18693749,22001835,166284,166301,10,7,5.4412520865642200e-01,1.4208344082772958e-01
8,20523043,44949547,46723180,166834,166875,21,20,3.9288906058663259e-01,7.2132856530604639e-01
4,21184906,12209879,14353062,172228,172250,8,14,6.1028257668963537e-01,3.6165680599511356e-02
8,22090309,3705658,6342119,179591,179609,6,12,7.9949664253792663e-01,1.2115720789519589e-03
4,22335694,48606676,51861614,181580,181626,12,34,3.7627138703526336e-01,8.1885894801745329e-01
4,24066796,31691,72319,195660,195682,6,16,1.7700143695583288e+00,5.4390839405619906e-19
4,24066919,31692,72320,195660,195682,7,15,1.7700143695583288e+00,5.4390839405619906e-19
4,24067042,36467,61017,195661,195685,7,17,1.7365242158920933e+00,8.0864934009303797e-20
2,24484258,4734,471219,199059,199066,1,6,2.2647999288235856e+00,3.9712440533036283e-11
2,24484381,4735,471220,199059,199066,2,5,2.2647999288235856e+00,3.9712440533036283e-11
2,24484504,4538,193233,199059,199069,3,7,2.2777097269591753e+00,1.1949595729132057e-14
4,24745510,26136674,27154824,201172,201195,12,11,4.9047361272042472e-01,2.4961814603363827e-01
8,27041674,25345188,25182662,219835,219866,17,14,4.9549772819409077e-01,2.0586260126396499e-01
8,29469079,20872149,17933441,239566,239613,21,26,5.2673283181081509e-01,7.6546158310457080e-02
4,29487037,52112334,57258328,239707,239759,26,26,3.6038345114260256e-01,8.9808159199640580e-01
4,30464764,22202843,25466798,247674,247689,8,7,5.1690399592057790e-01,2.1198078348524702e-01
8,32936941,34716943,34793495,267763,267791,18,10,4.4209352282465730e-01,4.3723199378030592e-01
1,33004468,18010,4037,268310,268348,20,18,1.9088561510547026e+00,6.8874185285804152e-35
1,33004591,21617,4498,268310,268349,21,18,1.8621916681348527e+00,2.8284134423687540e-34
1,33004714,21618,4499,268310,268349,22,17,1.8621916681348527e+00,2.8284134423687540e-34
1,33004837,21619,4500,268310,268349,23,16,1.8621916681348527e+00,2.8284134423687540e-34
1,33004960,21620,4501,268310,268349,24,15,1.8621916681348527e+00,2.8284134423687540e-34
1,33005083,21621,4502,268310,268349,25,14,1.8621916681348527e+00,2.8284134423687540e-34
4,33087493,2697332,3152909,268992,269018,13,13,8.5242713173372808e-01,3.0793192564772641e-05
8,33140875,5271909,5751891,269424,269451,15,12,7.4209546508684132e-01,7.5601265773895979e-04
8,34112452,50211122,48381341,277329,277351,9,13,3.6900502580596395e-01,7.5495487212482792e-01
8,34306177,34150662,34434884,278907,278922,6,9,4.4503112606847889e-01,4.2803835411010771e-01
4,35636545,23804991,20095758,289693,289750,36,21,5.0568526674055614e-01,1.0889336581404536e-01
4,37395199,9711034,5778853,304007,304060,20,33,6.4581190865219207e-01,7.7324409286752571e-04
8,38578090,70734150,59499925,313641,313651,3,7,2.6310385008705484e-01,9.2360738747848481e-01
1,38764435,100002,4704,315136,315195,23,36,1.4998454657737523e+00,4.7866388850812058e-34
1,38764558,100003,4705,315136,315195,24,35,1.4998454657737523e+00,4.7866388850812058e-34
1,38764681,100004,4706,315136,315195,25,34,1.4998454657737523e+00,4.7866388850812058e-34
1,38764804,88510,3793,315138,315197,24,35,1.5266864832463491e+00,3.3196521276991730e-35
1,38764927,88511,3794,315138,315197,25,34,1.5266864832463491e+00,3.3196521276991730e-35
1,38765050,91862,4056,315140,315199,24,35,1.5184778050845533e+00,7.5225735917243990e-35
1,38765173,91863,4057,315140,315199,25,34,1.5184778050845533e+00,7.5225735917243990e-35
1,38765296,91864,4058,315140,315199,26,33,1.5184778050845533e+00,7.5225735917243990e-35
1,38765419,91865,4059,315140,315199,27,32,1.5184778050845533e+00,7.5225735917243990e-35
1,38765542,101148,4385,315140,315200,28,32,1.4976409639062136e+00,1.7604544855947815e-34
1,38765665,106644,4773,315141,315201,28,32,1.4859385018059015e+00,5.7069586824604422e-34
8,38768986,288175,30627,315158,315214,38,18,1.2712080618279289e+00,2.0613423087243330e-23
8,39759013,8337532,12624056,323235,323251,10,6,6.6956520277536324e-01,2.2676062858137339e-02
8,43763278,38011270,36608807,355796,355805,4,5,4.2558718490173797e-01,4.8325103397655456e-01
8,47073946,14952122,12404070,382701,382743,15,27,5.7888671381847256e-01,2.1237279549484428e-02
8,47074192,14952124,12404072,382701,382743,17,25,5.7888671381847256e-01,2.1237279549484428e-02
8,47074315,14207385,11644542,382702,382744,17,25,5.8683030954082860e-01,1.6685503541870973e-02
8,47074561,14302392,11229788,382706,382751,15,30,5.8580313892828051e-01,1.4478952548287885e-02
8,47074930,14357183,11286065,382707,382752,17,28,5.8519814242013379e-01,1.4766315023746611e-02
8,47528062,16280525,13957966,386385,386426,23,18,5.6564814710346367e-01,3.2761419954152791e-02
3,49588558,2079,566,403145,403178,15,18,2.5009984589712890e+00,5.4532862629063892e-47
3,49588681,1177,434,403151,403182,10,21,2.6479667103709135e+00,2.6504494265305092e-48
3,49588804,1178,435,403151,403182,11,20,2.6479667103709135e+00,2.6504494265305092e-48
3,49588927,1179,436,403151,403182,12,19,2.6479667103709135e+00,2.6504494265305092e-48
3,49589050,1180,437,403151,403182,13,18,2.6479667103709135e+00,2.6504494265305092e-48
3,49589173,1181,438,403151,403182,14,17,2.6479667103709135e+00,2.6504494265305092e-48
3,49589296,1182,439,403151,403182,15,16,2.6479667103709135e+00,2.6504494265305092e-48
3,49589419,1183,440,403151,403182,16,15,2.6479667103709135e+00,2.6504494265305092e-48
3,49589542,1184,441,403151,403182,17,14,2.6479667103709135e+00,2.6504494265305092e-48
3,49589665,2323,2774,403158,403184,11,15,2.4720424249411357e+00,3.8156331604379867e-37
3,49589788,2324,2775,403158,403184,12,14,2.4720424249411357e+00,3.8156331604379867e-37
3,49589911,2325,2776,403158,403184,13,13,2.4720424249411357e+00,3.8156331604379867e-37
3,49590034,2326,2777,403158,403184,14,12,2.4720424249411357e+00,3.8156331604379867e-37
3,49590157,2327,2778,403158,403184,15,11,2.4720424249411357e+00,3.8156331604379867e-37
3,49590280,2328,2779,403158,403184,16,10,2.4720424249411357e+00,3.8156331604379867e-37
