bits,v_ind,r_density,r_naive_p,left_ind,right_ind,left_cnt,right_cnt,density,naive_p
4,380161,124839,124839,7914,7928,7,7,1.3812242229044158e+00,9.7086832831643941e-09
4,479233,955618,955618,9978,9992,7,7,9.3034240849419414e-01,2.7209894897028784e-04
4,676561,1519657,1519657,14089,14103,7,7,8.3617792609810193e-01,1.7038875678870025e-03
4,912721,185251,185251,19009,19023,7,7,1.2879740306233118e+00,9.4003107975337332e-08
4,912913,91954,91954,19013,19027,7,7,1.4559025263047976e+00,1.5087934110060787e-09
4,913441,297465,297465,19024,19038,7,7,1.1801628134093336e+00,1.1905839004260386e-06
4,1209409,180398,180398,25190,25204,7,7,1.2942080293250116e+00,8.0929902732891366e-08
4,1338001,916165,916165,27869,27883,7,7,9.3902577924940522e-01,2.2820236144835331e-04
3,2250049,4500,4500,46870,46884,7,7,2.2446971384991743e+00,8.4466170509631531e-19
4,24756768,4991867,4991867,515758,515778,7,7,6.0237939332368962e-01,7.7243750072429715e-02
4,24806016,101748,101748,516780,516801,7,7,1.4310061217194854e+00,2.8179227435298604e-09
4,24806160,60861,60861,516786,516803,7,7,1.5581552451207783e+00,1.1152580246599484e-10
4,24806304,47564,47564,516790,516806,7,7,1.6211926063736661e+00,2.1747073488496635e-11
4,24806352,45324,45324,516791,516807,7,7,1.6334799900803776e+00,1.5775140987359232e-11
4,25152336,128930,128930,524000,524015,7,7,1.3737397799873168e+00,1.1676220701753913e-08
4,25266432,10527,10527,526375,526391,7,7,2.0161278572250438e+00,5.1620967828619625e-16
4,26202576,57715,57715,545877,545896,7,7,1.5713968333910526e+00,7.9249496534292686e-11
4,27092064,27293,27293,564408,564426,7,7,1.7632586353109894e+00,5.0846413281131370e-13
4,27912000,24022,24022,581493,581509,7,7,1.7965777218976227e+00,2.0797741253122896e-13
