bits,v_ind,r_density,r_naive_p,left_ind,right_ind,left_cnt,right_cnt,density,naive_p
4,380161,243259,176013,7910,7931,11,10,1.2093569428427582e+00,2.4770201697100065e-09
4,479233,660390,411720,9971,9995,14,10,9.8955587274283030e-01,6.7858951888780598e-07
1,626593,25077,4893,13043,13071,12,16,1.7931427557955888e+00,6.5977986332071861e-24
1,626641,25078,4894,13043,13071,13,15,1.7931427557955888e+00,6.5977986332071861e-24
1,626689,25079,4895,13043,13071,14,14,1.7931427557955888e+00,6.5977986332071861e-24
1,626737,25080,4896,13043,13071,15,13,1.7931427557955888e+00,6.5977986332071861e-24
1,626785,25081,4897,13043,13071,16,12,1.7931427557955888e+00,6.5977986332071861e-24
1,626833,25082,4898,13043,13071,17,11,1.7931427557955888e+00,6.5977986332071861e-24
4,676561,1778106,2148312,14089,14104,7,8,7.8885500220802074e-01,3.1721322612241021e-03
2,25151616,1467,74204,523988,523996,4,2,2.6382163675441581e+00,3.2442830888762364e-12
2,25151664,1468,74205,523988,523996,5,1,2.6382163675441581e+00,3.2442830888762364e-12
4,25152336,104252,310906,524001,524012,6,5,1.4153455527009147e+00,1.1681291567100670e-07
2,25266336,787,139030,526379,526384,2,2,2.8146148029817413e+00,4.4091700700399182e-10
2,25266384,788,139031,526379,526384,3,1,2.8146148029817413e+00,4.4091700700399182e-10
6,25266432,3193,112017,526382,526388,2,4,2.4019500323084935e+00,8.4556172719595037e-11
4,26202576,89913,104434,545874,545900,8,9,1.4529275764723932e+00,4.9207807155319359e-11
4,27092064,76897,38265,564402,564435,10,13,1.4930766019345778e+00,9.3885775536169955e-15
2,27258624,4601,453419,567886,567890,2,1,2.2930343409388247e+00,1.2211788375692801e-06
4,27912000,38383,39016,581490,581510,10,8,1.6755173877254159e+00,1.1243332919948889e-14
