bits,v_ind,r_density,r_naive_p,left_ind,right_ind,left_cnt,right_cnt,density,naive_p
4,380161,256417,189859,7914,7921,7,0,1.4591320983150635e+00,5.6826926700307538e-06
4,479233,351331,262382,9979,9986,6,1,1.3624882109284202e+00,2.1334043511539633e-05
1,626929,21074,4756,13058,13068,4,6,2.2911370235266513e+00,9.0088916426730836e-15
4,676561,369233,648980,14093,14097,3,1,1.3475498063577809e+00,5.8040451931581775e-04
4,912721,177210,54966,19011,19021,5,5,1.5754279765828301e+00,1.7435425720129723e-08
4,912913,177214,54970,19011,19021,9,1,1.5754279765828301e+00,1.7435425720129723e-08
4,913441,184758,859944,19030,19032,1,1,1.5621508399852055e+00,1.4412129030130802e-03
1,1071457,49681,4674,22317,22330,6,7,1.9934755103674739e+00,7.8810642744432586e-15
1,1071505,49682,4675,22317,22330,7,6,1.9934755103674739e+00,7.8810642744432586e-15
4,24806352,25927,8633,516792,516803,6,3,2.2194959649857831e+00,5.0530388808923038e-13
4,25152336,40038,118593,524003,524007,4,0,2.0670744275450232e+00,7.3542956201091059e-07
2,25266336,1694,197275,526382,526383,0,1,3.1866122258633762e+00,6.6371264961132160e-06
2,25266384,1695,197276,526382,526383,1,0,3.1866122258633762e+00,6.6371264961132160e-06
6,25266432,19,252381,526384,526384,0,0,4.7390036063248333e+00,1.8238805569900764e-05
4,26202576,66143,110806,545884,545892,2,3,1.8951579298346630e+00,5.3410340732764343e-07
4,27092064,65050,17014,564410,564424,5,5,1.9010670783521795e+00,2.8370031382043605e-11
2,27248592,4985,874314,567679,567679,0,0,2.8188626063241102e+00,1.5175303783935680e-03
4,27912000,37829,13169,581492,581501,8,1,2.0875789657402626e+00,6.1489533396961474e-12
2,28282896,2589,742145,589227,589227,0,0,3.0450396719107475e+00,9.0148878469193013e-04
