bits,v_ind,r_density,r_naive_p,left_ind,right_ind,left_cnt,right_cnt,density,naive_p
2,149617,4960,24209,3118,3118,0,0,3.6896028392386166e+00,2.0436059607859363e-04
6,380161,3753,20247,7921,7921,0,0,3.8193653454666734e+00,1.5157747021317595e-04
6,479233,1986,13924,9985,9985,0,0,4.1010917809453398e+00,7.9233386614685096e-05
6,676561,3994,21127,14096,14096,0,0,3.7893763334464419e+00,1.6241407632120440e-04
1,864049,43875,1874,18001,18003,1,1,2.7202051627418000e+00,1.3563631670445914e-06
1,864097,43876,1875,18001,18003,2,0,2.7202051627418000e+00,1.3563631670445914e-06
4,912721,197239,55438,19016,19017,0,1,2.0701783381915608e+00,7.6245987699262712e-04
4,912913,104919,27045,19019,19020,1,0,2.3409634084055710e+00,2.4504068238575551e-04
2,913105,4837,23809,19024,19024,0,0,3.7009759981829893e+00,1.9907833590301064e-04
1,25671264,42393,1799,534817,534819,1,1,2.7358505355062497e+00,1.2307172233282791e-06
1,25671312,42394,1800,534817,534819,2,0,2.7358505355062497e+00,1.2307172233282791e-06
1,26062656,151511,2642,542972,542975,0,3,2.1823613325280933e+00,2.9395247162679786e-06
1,26062704,151512,2643,542972,542975,1,2,2.1823613325280933e+00,2.9395247162679786e-06
1,26062752,151513,2644,542972,542975,2,1,2.1823613325280933e+00,2.9395247162679786e-06
1,26062800,151514,2645,542972,542975,3,0,2.1823613325280933e+00,2.9395247162679786e-06
7,26202576,3095,1025,545887,545888,0,1,3.9028604566424780e+00,2.9677191460088770e-07
3,26202624,3096,1026,545887,545888,1,0,3.9028604566424780e+00,2.9677191460088770e-07
6,27092064,468,6302,564418,564418,0,0,4.7623224708394627e+00,1.7285324186761425e-05
7,27912000,125,3296,581500,581500,0,0,5.3248409206158893e+00,4.7332460308833463e-06
