bits,v_ind,r_density,r_naive_p,left_ind,right_ind,left_cnt,right_cnt,density,naive_p
4,380161,108335,90004,7911,7923,10,2,1.5488774654526385e+00,2.0153955468069159e-09
4,479233,758876,663064,9979,9991,6,6,1.0377765591737258e+00,8.6197868816876205e-05
1,626593,17822,2545,13049,13068,6,13,2.0864720568073167e+00,8.9189194786013129e-22
1,626641,17823,2546,13049,13068,7,12,2.0864720568073167e+00,8.9189194786013129e-22
1,626689,17824,2547,13049,13068,8,11,2.0864720568073167e+00,8.9189194786013129e-22
1,626737,29449,4564,13050,13069,8,11,1.9348110262044813e+00,2.3389696534553253e-19
1,626785,29450,4565,13050,13069,9,10,1.9348110262044813e+00,2.3389696534553253e-19
1,626833,31083,4884,13051,13070,9,10,1.9182688284334932e+00,4.2657680754571317e-19
1,626881,31084,4885,13051,13070,10,9,1.9182688284334932e+00,4.2657680754571317e-19
2,25151664,2551,146784,523991,523996,2,1,2.7163522894538814e+00,4.0202888481350060e-08
2,25151808,2552,146785,523991,523996,3,0,2.7163522894538814e+00,4.0202888481350060e-08
4,25152336,34186,236501,524003,524008,4,1,1.8897682364318700e+00,5.6760056226675789e-07
2,25266336,524,381744,526382,526383,0,1,3.1866122258633878e+00,6.6371264961128908e-06
2,25266384,104,94517,526382,526384,1,1,3.7040760193505400e+00,2.7333151207305552e-09
6,25266432,632,173811,526383,526385,1,1,3.1272132535007415e+00,1.0628554636714667e-07
4,26202576,277323,197959,545880,545898,4,9,1.2910823444190369e+00,2.1768104516616828e-07
4,27092064,79157,29307,564405,564426,9,7,1.6382830989371548e+00,7.2985070286378598e-13
2,27285744,2895,606809,568453,568454,0,1,2.6804957829233165e+00,5.8116439563285439e-05
4,27912000,34691,38217,581491,581504,9,2,1.8846454016191432e+00,5.8395528293206621e-12
